Code,Country,Type,Variable,Year,Value
AUS,Australia,Beef and veal,Production,1990,1792.967
AUS,Australia,Beef and veal,Production,1991,1831.97
AUS,Australia,Beef and veal,Production,1992,1875.916
AUS,Australia,Beef and veal,Production,1993,1899.94
AUS,Australia,Beef and veal,Production,1994,1924.053
AUS,Australia,Beef and veal,Production,1995,1939.612
AUS,Australia,Beef and veal,Production,1996,2078.888
AUS,Australia,Beef and veal,Production,1997,2172.092
AUS,Australia,Beef and veal,Production,1998,2229.499
AUS,Australia,Beef and veal,Production,1999,2244.044
AUS,Australia,Beef and veal,Production,2000,2377.768
AUS,Australia,Beef and veal,Production,2001,2273.83
AUS,Australia,Beef and veal,Production,2002,2375.197
AUS,Australia,Beef and veal,Production,2003,2237.523
AUS,Australia,Beef and veal,Production,2004,2349.03
AUS,Australia,Beef and veal,Production,2005,2250.394
AUS,Australia,Beef and veal,Production,2006,2429.036
AUS,Australia,Beef and veal,Production,2007,2362.878
AUS,Australia,Beef and veal,Production,2008,2392.429
AUS,Australia,Beef and veal,Production,2009,2396.038
AUS,Australia,Beef and veal,Production,2010,2370.1
AUS,Australia,Beef and veal,Production,2011,2334.01
AUS,Australia,Beef and veal,Production,2012,2342.328
AUS,Australia,Beef and veal,Production,2013,2698.966
AUS,Australia,Beef and veal,Production,2014,3008.801
AUS,Australia,Beef and veal,Production,2015,2924.367
AUS,Australia,Beef and veal,Production,2016,2400.032
AUS,Australia,Beef and veal,Production,2017,2443.36
AUS,Australia,Beef and veal,Production,2018,2689.5
AUS,Australia,Beef and veal,Production,2019,2743.1
AUS,Australia,Beef and veal,Production,2020,2213.4
AUS,Australia,Beef and veal,Production,2021,2445.409
AUS,Australia,Beef and veal,Production,2022,2525.681
AUS,Australia,Beef and veal,Production,2023,2593.62
AUS,Australia,Beef and veal,Production,2024,2673.219
AUS,Australia,Beef and veal,Production,2025,2690.154
AUS,Australia,Beef and veal,Production,2026,2730.208
AUS,Australia,Beef and veal,Production,2027,2768.393
