Code,Country,Year,Imports,Exports,Producer price,Consumption per capita,GHG,Consumption,continent,GDP per capita,Beef,Pig,Poultry,Sheep
AUS,Australia,1990,4175,898484,2163,0,43.723,,Oceania,17331.02529,1792967,,,
AUS,Australia,1991,5747,1011750,2081,33.636,44.771,825967,Oceania,17784.51196,1831970,,,
AUS,Australia,1992,5093,1061512,2058,32.964,45.183,819497,Oceania,18175.24943,1875916,,,
AUS,Australia,1993,7025,1133647,2361,30.751,45.462,773318,Oceania,19117.59946,1899940,,,
AUS,Australia,1994,8569,1180536,2217,27.942,48.727,710461,Oceania,20050.27639,1924053,,,
AUS,Australia,1995,8775,1237915,1838,28.418,48.603,730472,Oceania,20876.65666,1939612,,,
AUS,Australia,1996,7242,1223021,1741,32.754,49.788,851109,Oceania,21958.25505,2078888,,,
AUS,Australia,1997,6587,1319999,1936,32.347,50.418,849680,Oceania,22924.77481,2172092,,,
AUS,Australia,1998,5696,1410860,2052,30.518,50.395,810335,Oceania,24171.76719,2229499,,,
AUS,Australia,1999,4304,1439063,2319,31.307,49.645,840285,Oceania,25264.36436,2244044,,,
AUS,Australia,2000,4573,1466997,2799.3,33.37,51.666,905344,Oceania,26321.44645,2377768,,,
AUS,Australia,2001,4352,1519084,3245.73,27.61,51.926,757098,Oceania,27373.45972,2273830,,,
AUS,Australia,2002,4364,1544851,2799.84,28.962,52.337,802710,Oceania,28718.24108,2375197,,,
AUS,Australia,2003,6513,1354300,3048.56,30.667,50.034,859736,Oceania,29734.72088,2237523,,,
AUS,Australia,2004,9434,1454556,3406.56,33.589,51.686,953908,Oceania,31308.21052,2349030,,,
AUS,Australia,2005,12002,1453389,3505.39,28.932,52.526,834007,Oceania,32575.06925,2250394,,,
AUS,Australia,2006,9876,1518088,3364.78,31.471,53.895,922824,Oceania,34288.86369,2429036,,,
AUS,Australia,2007,7891,1518596,3195.23,26.244,53.34,784173,Oceania,36544.88598,2362878,,,
AUS,Australia,2008,8496,1560151,3202.52,26.802,52.202,816774,Oceania,37459.30765,2392429,,,
AUS,Australia,2009,8920,1543179,3113.96,27.187,53.32,844779,Oceania,40300.75555,2396038,,,
AUS,Australia,2010,10449,1497065,3358.15,28.547,51.184,903484,Oceania,39301.34112,2370100,,,
AUS,Australia,2011,14166,1499445,3373.29,26.485,54.716,852731,Oceania,41965.35842,2334010,,,
AUS,Australia,2012,13296,1481500,3178.75,26.349,54.31,862124,Oceania,42826.78958,2342328,,,
AUS,Australia,2013,10728,1796675,3041.66,28.386,56.108,943019,Oceania,45902.04795,2698966,,,
AUS,Australia,2014,12500,2101742,3822.71,28.318,55.811,954559,Oceania,46880.22066,3008801,,,
AUS,Australia,2015,13830,2072940,4922.4,26.156,52.289,894257,Oceania,46288.33448,2924367,,,
AUS,Australia,2016,14632,1627011,5288.71,23.475,47.586,813652,Oceania,47339.96921,2400032,,,
